,country,type,scrap_sum,year,Strategy type,recycling_m,CO2,CO2_em
247,United Kingdom,NMC111,1220.1888938739614,2023,Strategy 3,Direct,2.5573470780000003,3120.4465023566277
248,United Kingdom,NMC622,305.6132470587095,2023,Strategy 3,Direct,2.478807863,757.5565198460907
249,United Kingdom,NMC811,125.6996021601504,2023,Strategy 3,Direct,2.397518212,301.36708542011513
250,United Kingdom,NMC523,812.3556188032019,2023,Strategy 3,Direct,2.496014242,2027.651194101515
251,United Kingdom,NCA,2370.138640149451,2023,Strategy 3,Direct,2.452491446,5812.7447408006
252,Norway,LFP,0.1428908903500856,2023,Strategy 3,Direct,2.252335332,0.3218382009564356
253,Norway,NMC111,1286.2061790245186,2023,Strategy 3,Direct,2.5573470780000003,3289.275613633898
254,Norway,NMC622,262.83088980241456,2023,Strategy 3,Direct,2.478807863,651.5072762815117
255,Norway,NMC811,74.5026014850135,2023,Strategy 3,Direct,2.397518212,178.6213439016981
256,Norway,NMC523,767.3790115375862,2023,Strategy 3,Direct,2.496014242,1915.3889418096976
257,Norway,NCA,2160.663870072808,2023,Strategy 3,Direct,2.452491446,5299.009659034817
258,Russian Federation,LFP,0.20513004660703463,2023,Strategy 3,Direct,2.252335332,0.4620216516278308
259,Russian Federation,NMC111,375.6087518856816,2023,Strategy 3,Direct,2.5573470780000003,960.561944106075
260,Russian Federation,NMC622,68.5264323459787,2023,Strategy 3,Direct,2.478807863,169.86385932254956
261,Russian Federation,NMC811,14.409423188691186,2023,Strategy 3,Direct,2.397518212,34.54685451930223
262,Russian Federation,NMC523,208.66502797671168,2023,Strategy 3,Direct,2.496014242,520.8308816372008
263,Russian Federation,NCA,599.1340571622897,2023,Strategy 3,Direct,2.452491446,1469.3711501977903
264,Serbia,LFP,0.007413689333023927,2023,Strategy 3,Direct,2.252335332,0.016698114425241304
265,Serbia,NMC111,16.765545349481396,2023,Strategy 3,Direct,2.5573470780000003,42.87531841057274
266,Serbia,NMC622,2.656190337144038,2023,Strategy 3,Direct,2.478807863,6.584185493337263
267,Serbia,NMC811,0.5055875309878543,2023,Strategy 3,Direct,2.397518212,1.212155313303495
268,Serbia,NMC523,7.7051284813585745,2023,Strategy 3,Direct,2.496014242,19.232110425910836
269,Serbia,NCA,26.566859935496048,2023,Strategy 3,Direct,2.452491446,65.15499673888417
270,Turkey,LFP,0.34976318270456824,2023,Strategy 3,Direct,2.252335332,0.7877839742382703
