,country,type,scrap_sum,year,Strategy type
400,Slovakia,NMC523,9.159649184727083,2023,Strategy 1
401,Slovakia,NCA,13.548869890896187,2023,Strategy 1
402,Spain,LFP,10.826955053572878,2023,Strategy 1
403,Spain,NMC111,383.19773385974963,2023,Strategy 1
404,Spain,NMC622,134.1568494241995,2023,Strategy 1
405,Spain,NMC811,45.83749172359635,2023,Strategy 1
406,Spain,NMC523,331.8741375457232,2023,Strategy 1
407,Spain,NCA,493.27793144006574,2023,Strategy 1
408,Sweden,LFP,7.760562923606021,2023,Strategy 1
409,Sweden,NMC111,904.5428374098277,2023,Strategy 1
410,Sweden,NMC622,290.1082675524963,2023,Strategy 1
411,Sweden,NMC811,93.33611014241305,2023,Strategy 1
412,Sweden,NMC523,734.1833800204485,2023,Strategy 1
413,Sweden,NCA,1127.1993396197854,2023,Strategy 1
414,United Kingdom,LFP,3.8806601896734723,2023,Strategy 1
415,United Kingdom,NMC111,1220.1888938739614,2023,Strategy 1
416,United Kingdom,NMC622,305.6132470587095,2023,Strategy 1
417,United Kingdom,NMC811,125.6996021601504,2023,Strategy 1
418,United Kingdom,NMC523,812.3556188032019,2023,Strategy 1
419,United Kingdom,NCA,2370.138640149451,2023,Strategy 1
420,Norway,LFP,0.1428908903500856,2023,Strategy 1
421,Norway,NMC111,1286.2061790245186,2023,Strategy 1
422,Norway,NMC622,262.83088980241456,2023,Strategy 1
423,Norway,NMC811,74.5026014850135,2023,Strategy 1
424,Norway,NMC523,767.3790115375862,2023,Strategy 1
425,Norway,NCA,2160.663870072808,2023,Strategy 1
426,Russian Federation,LFP,0.20513004660703463,2023,Strategy 1
427,Russian Federation,NMC111,375.6087518856816,2023,Strategy 1
428,Russian Federation,NMC622,68.5264323459787,2023,Strategy 1
429,Russian Federation,NMC811,14.409423188691186,2023,Strategy 1
430,Russian Federation,NMC523,208.66502797671168,2023,Strategy 1
431,Russian Federation,NCA,599.1340571622897,2023,Strategy 1
432,Serbia,LFP,0.007413689333023927,2023,Strategy 1
433,Serbia,NMC111,16.765545349481396,2023,Strategy 1
434,Serbia,NMC622,2.656190337144038,2023,Strategy 1
435,Serbia,NMC811,0.5055875309878543,2023,Strategy 1
436,Serbia,NMC523,7.7051284813585745,2023,Strategy 1
437,Serbia,NCA,26.566859935496048,2023,Strategy 1
438,Turkey,LFP,0.34976318270456824,2023,Strategy 1
439,Turkey,NMC111,520.1434446678104,2023,Strategy 1
440,Turkey,NMC622,96.34370161870154,2023,Strategy 1
441,Turkey,NMC811,25.561555986754293,2023,Strategy 1
442,Turkey,NMC523,282.68988972657735,2023,Strategy 1
443,Turkey,NCA,871.7200772957652,2023,Strategy 1
444,USA,LFP,70.838781991733,2023,Strategy 1
445,USA,NMC111,3826.2832205831037,2023,Strategy 1
446,USA,NMC622,840.0079014644235,2023,Strategy 1
447,USA,NMC811,252.585935950384,2023,Strategy 1
448,USA,NMC523,2498.438323089068,2023,Strategy 1
449,USA,NCA,20817.66354004909,2023,Strategy 1
450,Canada,LFP,1.479902374069103,2023,Strategy 1
